白岩松口才好，书法写得也不错	白岩松/nr
2018年漳州芗城市区公办学校初中一年级招生工作的意见出炉	芗城/ns,漳州/ns,市区公办学校初中/nt
我报了个3000一人的云南五日游，会被强制消费吗？	云南/ns
房天下每日成交5月6日海宁商品房销售备案26套	海宁/ns
5月6日孝感房产网签22套 成交均价6544元/㎡	孝感/ns
5月7日金华商品房成交57套 二手房成交102套	金华/ns
5月7日南宁商品房签约344套 存量房交易141套	南宁/ns
5月7日苏州商品房成交198套，二手房成交374套	苏州/ns
5月7日无锡商品房备案成交296套 环涨188套	无锡/ns
5月8日南宁商品房签约317套 存量房交易126套	南宁/ns
5月8日苏州商品房成交263套 住宅成交207套	苏州/ns
5月8日苏州商品房成交263套，二手房成交417套	苏州/ns
房天下每日成交5月9日海宁商品房销售备案36套	海宁/ns
4月超八成城市房租环比下跌 昆明环比下降0.17%	昆明/ns
武汉东湖生态旅游风景区，武汉十大浪漫景点，十里磨山，八里飘香	东湖/ns,武汉/ns
百道书单｜十年生死两茫茫，这些书真实再现了“5·12”汶川特大地震	汶川/ns
第一个对全国公安民警免费开放的国家5A级景区、中华十大名山长白山五一小长假迎来首批民警游客	长白山/ns
“暖春·援梦”关爱高考生龙江高校大型公益巡讲第二季第二站走进佳木斯	龙江/ns,佳木斯/ns
山东滨州有一个中国上市公司第一村，一言不合就发钱，养老全免费，你怎么看？	滨州/ns,山东/ns,中国上市公司/nt
河南一景区，被誉“中原第一峡”，美爆了，门票仅40元！	河南/ns,中原/ns
东非多国遭遇罕见洪水，索马里河流变化惊人！数十万人流离失所	东非/ns
“5·19中国旅游节”来啦！黄山景区发布惠民政策	中国/ns,黄山/ns
济宁市推出多项旅游惠民措施 部分景区让游客敞开耍	济宁市/ns
云南将推115项旅游惠民措施 部分景区免费或降价	云南/ns
云南将推出115项旅游惠民措施 部分景区免费或降价	云南/ns
奈曼旗白音昌卫生院，先诊辽后付费，心系患者，为民惠民	奈曼旗/ns,白音昌卫生院/nt
喜讯！河南天香农业有限公司启动惠农服务大会！	河南/ns,服务大会/nt,天香农业有限公司/nt
自驾游到阿尔山几月份最好？	阿尔山/ns
安仁师范班｜书法：一面镜子，一条道路	安仁/ns
贵州5个5A景区，安顺坐拥两个，旅游收入却令人意外？	贵州/ns,安顺/ns
澳珀斯机场航站楼因火警紧急疏散乘客	澳珀斯/ns
虚惊一场？澳珀斯机场航站楼因火警紧急疏散乘客	澳珀斯/ns
重庆138人通过清华北大自主招生初审 巴蜀中学36人再进全国前十	重庆/ns,巴蜀/ns
512大地震10周年！汶川震区大变样，还给人间一个锦绣巴蜀	汶川/ns,巴蜀/ns
白银区第八小学开展争做文明使者禁毒活动	白银区/ns,第八小学/nt
农作物被暴风雨横腰折断 广西大化百马乡5370亩玉米地受灾	广西/ns,百马乡/ns
勉县政协主席到褒城镇视察指导稻田泥鳅养殖项目	勉县/ns,褒城镇/ns
宝鸡考生请注意 2018年中高考政策有变化啦！	宝鸡/ns
陕西宝鸡出台义务教育招生方案：民办学校不得提前录取新生	陕西/ns,宝鸡/ns
想在宝鸡置办一套房产，刚需，现在价格怎么样？	宝鸡/ns
宝鸡王家山村男子发展生态农业并尝试农家乐打搅团，人气旺	宝鸡/ns
上联：宝鸡啄食陈仓米，怎么对下联？	宝鸡/ns
宝鸡适合养老吗？	宝鸡/ns
南宝山下的生态鱼养殖基地	宝山/ns
宝塔山景区保护提升工程 今年10月份建成投用	宝塔山/ns
延安宝塔山景区保护提升工程 今年10月份建成投用	延安/ns,宝塔山/ns
保定：冉庄明清园一日游	保定/ns
保定八大景区，推荐这三个必须看	保定/ns
这个季节去河北保定唐县秀水峪景区去怎么样，景区景色如何？	河北/ns,唐县/ns,保定/ns
滴滴又遇麻烦，保定要求立即停止违规经营行为！	保定/ns
保定周边有什么适合养老的楼盘推荐？	保定/ns
在保定一月7000-9000的工资算什么水平？跟外面单干的比哪个会好些？	保定/ns
保定市考摩托车驾照需要多少钱？多久？	保定市/ns
招聘啦！北辰区2018年事业单位公开招聘工作人员	北辰区/ns,事业单位/nt
美军第二舰队2.0版剑指北极熊！俄罗斯只有一招应对	北极/ns,第二舰队/nt
如果从长春出发去最北漠河，呼伦贝尔大草原，满州里自驾游一圈，能否推荐一下线路？	长春/ns,北漠河/ns,呼伦贝尔/ns
南三亚北威海，你会选择在哪里养老呢	三亚/ns,海南/ns,北威海/ns
辽宁本溪水洞风景区	辽宁/ns,本溪/ns
「最多省270元！」辽宁4家5A景区推联票 本溪这个地方要火……	辽宁/ns,本溪/ns
直击：比凤凰古镇还坑的景区，游玩一圈收8次费，如今无人问津	凤凰古镇/ns
走进云南丙中洛镇景区随拍	云南/ns,丙中洛镇/ns
博兴交警依托执法站严查“两客一危一货”违法行为	博兴/ns,执法站/nt
巴布亚新几内亚附近海域发生6级地震	新不列颠岛/ns
新不列颠岛地区发生6.0级地震 震源深度30千米	新不列颠岛/ns
2018云南五华区科技产业园开发投资招聘笔试结果及面试通知	云南/ns,五华区/ns
西藏昌都市年平均工资有多高？	西藏/ns,昌都市/ns
“6年免检”的含义你真的知道嘛？昌邑交警蜀黍权威解答	昌邑/ns
「教育」牛！常德7名学霸通过清华北大自主招生初审	常德/ns
这才是国军真正的硬骨头部队：血战常德、孤守衡阳，到最后一人	衡阳/ns,常德/ns
常德交警四大队：联合夜查行动成效显著	常德/ns,交警四大队/nt
常宁：30亩包菜滞销 菜农徐棉成全城寻买主	常宁/ns,徐棉/nr
5.19 中国旅游日，朝阳山景区免门票了！	中国/ns,朝阳山/ns
俄军基地屡遭威胁，普京大怒调来车臣部队，这下稳了	车臣/ns
200多亩葡萄架，被“谁”搞倒一半多；新邵陈家坊镇果农伤不起	新邵/ns,陈家坊镇/ns
来承德兴隆山景区玩 选景点，农家院小攻略	承德/ns
邵阳市养殖业环保督查城步	邵阳市/ns,城步/ns
从果农到经纪人 把城固柑桔卖到国外	城固/ns
恩施州各县市城区范围基准地价和征地补偿价格现状！	恩施州/ns
诗词欣赏：赤壁	赤壁/ns
下联：赤壁怀古，战马声嘶今犹在。上联怎么对？	赤壁/ns
想自驾游西藏，成都出发，川藏南线进，川藏北线出14天时间够吗？	西藏/ns,成都/ns
如何看待贵州中天，在成都春熙路拿地搞房地产？	贵州/ns,成都/ns,春熙路/ns
七月份从包头到山东，十五天左右，有自驾游路线推荐吗？	山东/ns
哈尔滨人也能吃上从化荔枝！“互联网+”助广州果农富起来	广州/ns,从化/ns
周末休闲农家游~肃州湿地景观大道满足你！串联五大湿地景区，途经数个乡镇，就是这么赞！	肃州/ns
「对对联」昆明大观楼长联字多情真联长	昆明/ns,大观楼/ns
紧急！神农架大九湖景区因强降雨暂停售卖换乘车票	大九湖/ns,神农架/ns,大九湖/ns,神农架/ns
云南大理到西藏自驾游需要多长时间？	西藏/ns,云南/ns,大理/ns
老司机们注意啦！大理交警向景点景区交通乱象“亮剑”！	大理/ns
想七月从成都出发去泸沽湖，大理，丽江，四个人自驾游，需要准备什么，当地的风俗忌讳？	丽江/ns,泸沽湖/ns,成都/ns,大理/ns
自主招生｜大连共53人通过清北自招初审！看看辽宁哪些高中更强	辽宁/ns,大连/ns
大连都有哪些知名高校？	大连/ns
大连一日游靠谱吗？	大连/ns
大连上调租房公积金提取额	大连/ns
大连做二手房改造时，这些问题要注意	大连/ns
大连3.22限购令后了房地产市场你怎么看？	大连/ns
大连船厂又有新动作？此配件成功下线，核动力航母或将开建	大连/ns
关于“打车”这件事！大连专门开了一场“新闻发布会”	大连/ns
在大连西山水库买房养老好不好？	西山/ns,大连/ns
一千万吨核弹暗藏太平洋 可激起五百米海啸 摧毁半个美洲大陆	太平洋/ns
大码头镇西刘桥小学开展交通安全知识竞赛	大码头镇/ns,西刘桥小学/nt
上联：太原太大大太原，如何对下联？	太原/ns,大太原/ns
大郑州的二手房价位真的向下浮动了！是购房最佳时机吗？	大郑州/ns
温氏集团大庄乡养猪小区投产	大庄乡/ns
丹景台景区：600米绿道示范段已形成	丹景台/ns
成都高新丹景台景区建设加快推进 600米绿道示范段已形成	成都/ns,丹景台/ns
稻城亚丁风景区主要由“仙乃日、央迈勇、夏诺多吉”三座神山	稻城/ns
泸沽湖徒步稻城亚丁：8名驴友1天被冰雹砸4次，缺粮挨饿吃树皮！	泸沽湖/ns,稻城/ns
聚焦｜德州市政府发文严抓房地产！这些信息将全部公开……	德州/ns
地球开启“震动模式”？我国台湾省、日本相继发生有感地震	日本/ns
美国8级强震，日本智利火山喷发，地球变得不稳定了吗？未来会不会有更大的灾难？	日本/ns
我国台湾、日本连续地震，仅仅是地球地震带的一点小动作？	日本/ns
地球这是怎么了？美国夏威夷群岛突发6.9级地震，游客紧急疏散！	夏威夷群岛/ns
地坛中医药健康文化节 尽显东城中医文化特色	地坛/ns
「改善医疗服务」全能高手外科医生，地坛再登场	地坛/ns
陕西紫阳东木镇切实做好强降雨核实和救助工作	陕西/ns,紫阳/ns,东木镇/ns
陕西紫阳县东木镇开展防汛防滑应急演练	陕西/ns,紫阳县/ns,东木镇/ns
邢台东市村1600余名村民被困洪水 消防官兵挺进一线	东市村/ns,邢台/ns
东营区实验学校召开“校园安全维稳”专题会	东营区/ns
东营市召开2018年普通高校招生考试安全工作会议	东营市/ns
北大清华自主招生初审名单公布 东营市29人上榜	东营市/ns
春季高考5月12日至13日举行 东营市在广饶一中设考点	广饶/ns,东营市/ns
2018池州东至县公务车辆管理服务中心招聘拟录公示	池州/ns,东至县/ns
从成自驾游来到珠海，去了一趟斗门清朝古街，你去过吗	珠海/ns
清醒 盘点俄红场阅兵这些武器装备中国尚属空白，同志仍需努力！	中国/ns,俄红场/ns
恩施有没有没开发的好景区？	恩施/ns
“恩施一日游”有什么好的路线推荐？	恩施/ns
5月，去恩施走走，八大景区将免费开放	恩施/ns
突发！一游客在恩施大峡谷突遇山体落石，景区发出公告	恩施大峡谷/ns
无限风光在险峰，全球最长最美丽的大峡谷之一湖北恩施大峡谷景区	恩施大峡谷/ns
恩施大峡谷落石毙命，暴雨天后尽量避免山野峡谷游！	恩施大峡谷/ns
泰州中航推出6月4/7月9日长江三峡神农架恩施五星游轮6日游2880元	恩施/ns,长江/ns,神农架/ns,三峡/ns
泰州中航推出6月2/7月7日长江三峡神农架恩施五星游轮6日游2880元	恩施/ns,长江/ns,神农架/ns,三峡/ns
5月19日，恩施州八大景区将免费开放，赶紧计划一下出发吧！	恩施州/ns
揭阳交警市区二大队提醒广大群众注意雨季出行安全	二大队/nt
丰宁草原，国家5A级景区，夏日平均气温为17.4℃，非常凉爽！	丰宁草原/ns
Waymo今年将在凤凰城正式推出自动驾驶打车服务	凤凰城/ns
Waymo计划年内在凤凰城正式推出无人驾驶打车服务	凤凰城/ns
凤凰涅槃——25载沉沦，我挣脱了糖尿病！	凤凰城/ns
张家界旅游攻略，大连到张家界凤凰五日游	凤凰/ns,大连/ns,张家界/ns
汶川大地震十周年 回访重灾区四川理县 凤凰涅槃浴火重生！	理县/ns
张家界旅游攻略，张家界凤凰五日游	凤凰/ns,张家界/ns
张家界旅游攻略，一起相约张家界凤凰四日游	凤凰/ns,张家界/ns
奉节有那些景区？	奉节/ns
五一过后的南京夫子庙景区，人少了但风景依然很美	夫子庙/ns
扶绥农村商业银行做好春耕金融服务工作	扶绥/ns,农村商业银行/nt
5、6月份福建人可以免费游览宁夏23家景区	福建/ns
福建人5月～6月到宁夏玩 4A级以上景区免门票	福建/ns
6月30日前游玩宁夏 福建人可以免23家景区门票	福建/ns
福建籍游客到宁夏凭身份证享23家4A级以上景区免门票	福建/ns
福建人，6月30日前游宁夏，这23家景区统统免门票！	福建/ns
好消息！福建人的身份又升值了6月30日前这些4A级景区免费玩	福建/ns
福建人的身份证“升值”啦！6月30日前这些4A级以上景区免费玩！	福建/ns
福建厦门海沧区开展防止海域新增养殖回潮宣传	福建厦门/ns
7天后，全国人民都要羡慕福州人！这些4A级以上景区全部免费玩！	福州/ns
富平县委宣传部对贫困户进行养殖技术培训	富平县/ns,委宣传部/nt
上联：同修富裕路，下联：如何对完美？	富裕路/ns
2018年新疆伽师县招聘事业单位辅助人员公告	伽师县/ns
安福县甘洛学校举行地震安全逃生演练	甘洛/ns
西安高陵公开征集“高陵农产品区域公共品牌”名称和LOGO设计方案	高陵/ns
高密市事业单位面向双一流高校择优招聘党政储备人15名	高密市/ns
防灾减灾丨高温台风有啥影响 杭州气象台请你免费听课	高温台/ns
济南高新区一售楼处现千人购房大军，咋回事	高新区/ns
高新区举办农产品质量安全暨蔬菜生产关键技术培训	高新区/ns
菏泽高新区组团参加2018年上海全国农产品博览会	高新区/ns
潍坊高新区公开招聘事业编制教师15名，同时引进骨干教师20名！	高新区/ns
海口国家高新区举办2018年首场靶向（技术工人）招聘会公告	高新区/ns,海口/ns
“台湾见闻”之高雄西子湾景区，头一次听说“疯狗浪”	高雄/ns
戈壁新城格尔木，中国唯一一个为“军人”而生的城市	格尔木/ns,的城市/ns
泰州中航国旅推出特价：499元5月14/21/28日厦门鼓浪屿六日游	鼓浪屿/ns
来鼓浪屿旅游就要打卡！特别是抖音上大火的土耳其冰淇淋大叔	鼓浪屿/ns
最新！鼓楼区共12所小学招生通告，施教区范围整理，持续更新中！	鼓楼区/ns
四川最贵的景区，票价是故宫的5倍，去过的人从来不会后悔！	故宫/ns
我国最“假”的旅游城市造出了“最假”的景区，门票是故宫的8倍	故宫/ns
十级地震检查，卯榫结构的故宫模型巍然屹立	故宫/ns
准备回家搞关中驴养殖，有什么好的建议吗？	关中/ns
郑州市管城区小李庄小学防灾减灾应急疏散演练隆重举行	管城区/ns
什邡消防推广安装独立感烟火灾探测报警器260个	广安/ns
关于2018年度粤桂扶贫协作广西部分旅游景区对广东籍游客门票减免优惠政策的通告	广东/ns
广东平远县最值得去的景区——五指石风景名胜区	广东/ns,平远县/ns
房贷提高首付，利率上调，对广元刚需有什么影响？	广元/ns
上联：贵山贵水迎贵客，怎么对下联？	贵水/ns
